07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 af_ZA 1538753326 125470 125470 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 56713372 1.19
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 an_ES 1538753326 20535 20535 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 11317876 0.90
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 ar 1538753326 108362 108362 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 86571737 1.86
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 be_BY 1538753326 81516 81516 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 45584764 1.59
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 bg_BG 1538753326 867136 867136 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 3015551757 1.25
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 bn_BD 1538753326 110750 110750 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 56290417 1.76
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 bo 1538753326 376 345 0.918 31 0.082 0 0.000 0 0.000 1.000 1.000 528802 1.93
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 br_FR 1538753326 464631 464631 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 231798021 1.55
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 bs_BA 1538753326 30442 30441 1.000 0 0.000 1 0.000 0 0.000 1.000 1.000 11938868 1.16
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 ca 1538753326 655679 634425 0.968 2669 0.004 0 0.000 18585 0.028 0.972 1.000 22195188942 1.12
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 ca_ES-valencia 1538753326 655778 634516 0.968 2647 0.004 0 0.000 18615 0.028 0.972 1.000 21299920563 1.03
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 cs_CZ 1538753326 165085 165085 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 78565647 1.21
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 da_DK 1538753326 390462 367854 0.942 20283 0.052 1584 0.004 741 0.002 0.994 0.996 3616838359 0.64
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_AT 1538753326 71983 50406 0.700 21575 0.300 2 0.000 0 0.000 1.000 1.000 428925971 0.46
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_AT_frami 1538753326 250806 169864 0.677 80939 0.323 3 0.000 0 0.000 1.000 1.000 2157954395 0.43
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_CH 1538753326 381038 359440 0.943 21594 0.057 2 0.000 2 0.000 1.000 1.000 2393176073 0.62
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_CH_frami 1538753326 559483 478612 0.855 80867 0.145 2 0.000 2 0.000 1.000 1.000 4092475184 0.55
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_DE 1538753326 380890 359334 0.943 21552 0.057 2 0.000 2 0.000 1.000 1.000 2365357696 0.62
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 de_DE_frami 1538753326 559844 479214 0.856 80626 0.144 2 0.000 2 0.000 1.000 1.000 4055479710 0.56
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 dz 1538753326 401 371 0.925 30 0.075 0 0.000 0 0.000 1.000 1.000 628057 1.78
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 el_GR 1538753326 828785 828785 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 414321613 1.45
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 en_AU 1538753326 49426 49423 1.000 3 0.000 0 0.000 0 0.000 1.000 1.000 29530845 1.50
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 en_CA 1538753326 112517 109968 0.977 2549 0.023 0 0.000 0 0.000 1.000 1.000 107816898 1.23
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 en_GB 1538753326 135843 119758 0.882 16084 0.118 0 0.000 1 0.000 1.000 1.000 188626074 1.02
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 en_US 1538753326 112568 109907 0.976 2661 0.024 0 0.000 0 0.000 1.000 1.000 100359962 1.29
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 en_ZA 1538753326 53537 53529 1.000 8 0.000 0 0.000 0 0.000 1.000 1.000 41159405 1.22
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 es_ES 1538753326 96510 71010 0.736 25500 0.264 0 0.000 0 0.000 1.000 1.000 352305740 0.63
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 eu 1538753326 106346 106333 1.000 2 0.000 0 0.000 11 0.000 1.000 1.000 54466645 1.09
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 fr 1538753326 191661 190985 0.996 675 0.004 0 0.000 1 0.000 1.000 1.000 884860241 2.34
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 gd_GB 1538753326 334794 332046 0.992 2748 0.008 0 0.000 0 0.000 1.000 1.000 246815471 1.53
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 gl_ES 1538753326 551230 226629 0.411 324601 0.589 0 0.000 0 0.000 1.000 1.000 18073713336 1.00
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 gu_IN 1538753326 168952 168952 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 91005319 1.75
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 gug_PY 1538753326 4215 4215 1.000 0 0.000 0 0.000 0 0.000 1.000 1.000 2453730 1.89
07fd0469c6c240d8c05553993be2fd25df8acd72 1535479405 he_IL 1538753326 469730 457314 0.974 12416 0.026 0 0.000 0 0.000 1.000 1.000 241802389 1.62
